,label,original,corrected
0,0,3,0
1,0,3,0
2,0,3,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,4,0
7,0,0,0
8,0,0,0
9,0,0,0
10,1,1,0
11,1,1,0
12,1,1,0
13,1,1,0
14,1,1,0
15,2,2,0
16,2,2,0
17,2,2,0
18,2,2,0
19,2,2,0
20,3,3,0
21,3,3,0
22,3,3,0
23,3,3,0
24,4,5,6
25,4,4,0
26,4,4,0
27,4,4,0
28,4,4,0
29,4,4,0
30,4,4,0
31,9,9,9
32,9,9,9
33,9,9,9
34,9,9,9
35,9,9,9
36,9,9,9
37,9,9,9
38,10,10,9
39,10,10,9
40,10,10,9
41,10,10,9
42,10,10,9
43,10,10,9
44,10,10,9
45,10,10,9
46,10,10,9
47,11,11,9
48,11,11,9
49,11,11,9
50,11,11,9
51,11,11,9
52,11,11,9
53,11,11,9
54,11,11,9
55,11,11,9
56,6,6,6
57,6,6,6
58,6,8,8
59,6,6,6
60,6,6,6
61,6,6,6
62,6,8,6
63,6,6,6
64,6,6,6
65,6,6,6
66,6,6,6
67,6,6,6
68,7,7,7
69,7,7,7
70,7,7,7
71,7,7,7
72,7,7,7
73,7,7,6
74,7,7,7
75,7,7,7
76,7,7,7
77,7,7,7
78,8,8,6
79,8,8,6
80,8,8,6
81,8,8,6
82,8,8,6
83,8,8,6
84,8,8,6
85,8,8,6
86,8,8,6
87,8,8,8
