,label,original,corrected
0,0,3,10
1,0,3,10
2,0,3,10
3,0,0,10
4,0,0,10
5,0,0,10
6,0,4,10
7,0,0,10
8,0,0,10
9,0,0,10
10,1,1,10
11,1,1,10
12,1,1,10
13,1,1,10
14,1,1,10
15,2,2,10
16,2,2,10
17,2,2,10
18,2,2,10
19,2,2,10
20,3,3,10
21,3,3,10
22,3,3,10
23,3,3,10
24,4,5,10
25,4,4,10
26,4,4,10
27,4,4,10
28,4,4,10
29,4,4,10
30,4,4,10
31,9,9,10
32,9,9,10
33,9,9,10
34,9,9,10
35,9,9,10
36,9,9,10
37,9,9,10
38,10,10,10
39,10,10,10
40,10,10,10
41,10,10,10
42,10,10,10
43,10,10,10
44,10,10,10
45,10,10,10
46,10,10,10
47,11,11,10
48,11,11,10
49,11,11,10
50,11,11,10
51,11,11,10
52,11,11,10
53,11,11,10
54,11,11,10
55,11,11,10
56,6,6,10
57,6,6,10
58,6,8,10
59,6,6,10
60,6,6,10
61,6,6,10
62,6,8,10
63,6,6,10
64,6,6,10
65,6,6,10
66,6,6,10
67,6,6,10
68,7,7,10
69,7,7,10
70,7,7,10
71,7,7,10
72,7,7,10
73,7,7,10
74,7,7,10
75,7,7,10
76,7,7,10
77,7,7,10
78,8,8,10
79,8,8,10
80,8,8,10
81,8,8,10
82,8,8,10
83,8,8,10
84,8,8,10
85,8,8,10
86,8,8,10
87,8,8,10
